Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2022-02-01 19:50:43.656 -0600,"Failure",0:00:15,5,0,0,"20220201_195043.656/LogFile.txt","","BadValue -- Bad value for Object expression.  Looking for an object or script identifier, got 'True'.",0
2022-02-01 19:52:02.249 -0600,"Failure",0:00:14,3,0,0,"20220201_195202.249/LogFile.txt","","BadValue -- Bad value for Object expression.  Looking for an object or script identifier, got 'True'.",2
2022-02-01 19:53:26.927 -0600,"Failure",0:00:40,3,0,0,"20220201_195326.927/LogFile.txt","","BadValue -- Bad value for Object expression.  Looking for an object or script identifier, got 'True'.",2
2022-02-01 19:54:43.205 -0600,"Aborted",0:00:21,1,0,1,"20220201_195443.205/LogFile.txt","","",0
2022-02-01 19:55:21.721 -0600,"Aborted",0:02:08,1,0,0,"20220201_195521.721/LogFile.txt","","",0
2022-02-01 19:57:47.357 -0600,"Failure",0:00:11,1,0,0,"20220201_195747.357/LogFile.txt","","BadValue -- Bad value for Object expression.  Looking for an object or script identifier, got 'True'.",4
2022-02-01 20:05:07.791 -0600,"Success",0:00:12,0,0,0,"20220201_200507.791/LogFile.txt","","",6
2022-02-01 20:06:28.191 -0600,"Success",0:00:12,0,0,0,"20220201_200628.191/LogFile.txt","","",6
